timestamp, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/05/04 00:37:10.319, 3 MiB, 0 %, 5.43 W
2026/05/04 00:37:11.319, 3 MiB, 0 %, 5.20 W
2026/05/04 00:37:12.319, 3 MiB, 0 %, 5.26 W
2026/05/04 00:37:13.320, 3 MiB, 0 %, 5.41 W
2026/05/04 00:37:14.320, 3 MiB, 0 %, 5.57 W
2026/05/04 00:37:15.320, 3 MiB, 0 %, 5.48 W
2026/05/04 00:37:16.321, 3 MiB, 0 %, 5.38 W
2026/05/04 00:37:17.321, 3 MiB, 0 %, 5.67 W
2026/05/04 00:37:18.322, 3 MiB, 0 %, 5.28 W
2026/05/04 00:37:19.322, 3 MiB, 0 %, 4.84 W
2026/05/04 00:37:20.322, 3 MiB, 0 %, 4.97 W
2026/05/04 00:37:21.323, 3 MiB, 0 %, 4.93 W
2026/05/04 00:37:22.323, 3 MiB, 0 %, 4.80 W
2026/05/04 00:37:23.323, 3 MiB, 0 %, 4.75 W
2026/05/04 00:37:24.324, 3 MiB, 0 %, 4.71 W
2026/05/04 00:37:25.324, 3 MiB, 0 %, 4.73 W
2026/05/04 00:37:26.324, 3 MiB, 0 %, 5.03 W
2026/05/04 00:37:27.325, 3 MiB, 0 %, 5.26 W
2026/05/04 00:37:28.325, 3 MiB, 0 %, 5.25 W
2026/05/04 00:37:29.325, 3 MiB, 0 %, 5.24 W
2026/05/04 00:37:30.326, 3 MiB, 0 %, 5.19 W
2026/05/04 00:37:31.326, 3 MiB, 0 %, 5.14 W
2026/05/04 00:37:32.326, 3 MiB, 0 %, 5.20 W
2026/05/04 00:37:33.327, 3 MiB, 0 %, 5.36 W
2026/05/04 00:37:34.327, 3 MiB, 0 %, 5.38 W
2026/05/04 00:37:35.327, 3 MiB, 0 %, 5.32 W
2026/05/04 00:37:36.328, 3 MiB, 0 %, 5.26 W
2026/05/04 00:37:37.328, 3 MiB, 0 %, 5.18 W
2026/05/04 00:37:38.328, 3 MiB, 0 %, 5.14 W
2026/05/04 00:37:39.329, 3 MiB, 0 %, 5.25 W
2026/05/04 00:37:40.329, 3 MiB, 0 %, 5.26 W
2026/05/04 00:37:41.329, 3 MiB, 0 %, 5.18 W
2026/05/04 00:37:42.330, 3 MiB, 0 %, 5.28 W
2026/05/04 00:37:43.330, 3 MiB, 0 %, 5.27 W
2026/05/04 00:37:44.330, 3 MiB, 0 %, 5.22 W
2026/05/04 00:37:45.331, 3 MiB, 0 %, 5.08 W
2026/05/04 00:37:46.331, 3 MiB, 0 %, 4.97 W
2026/05/04 00:37:47.331, 3 MiB, 0 %, 4.95 W
2026/05/04 00:37:48.332, 3 MiB, 0 %, 4.95 W
2026/05/04 00:37:49.332, 3 MiB, 0 %, 5.01 W
2026/05/04 00:37:50.332, 3 MiB, 0 %, 5.06 W
2026/05/04 00:37:51.333, 3 MiB, 0 %, 5.13 W
2026/05/04 00:37:52.333, 3 MiB, 0 %, 5.18 W
2026/05/04 00:37:53.333, 3 MiB, 0 %, 5.06 W
2026/05/04 00:37:54.334, 3 MiB, 0 %, 5.16 W
2026/05/04 00:37:55.334, 3 MiB, 0 %, 5.36 W
2026/05/04 00:37:56.334, 3 MiB, 0 %, 5.43 W
2026/05/04 00:37:57.335, 3 MiB, 0 %, 5.69 W
2026/05/04 00:37:58.335, 3 MiB, 0 %, 5.76 W
2026/05/04 00:37:59.336, 3 MiB, 0 %, 5.46 W
2026/05/04 00:38:00.336, 3 MiB, 0 %, 5.39 W
2026/05/04 00:38:01.337, 3 MiB, 0 %, 5.60 W
2026/05/04 00:38:02.337, 3 MiB, 0 %, 5.56 W
2026/05/04 00:38:03.337, 3 MiB, 0 %, 5.54 W
2026/05/04 00:38:04.338, 3 MiB, 0 %, 5.58 W
2026/05/04 00:38:05.338, 3 MiB, 0 %, 5.44 W
2026/05/04 00:38:06.338, 3 MiB, 0 %, 5.36 W
2026/05/04 00:38:07.339, 3 MiB, 0 %, 5.14 W
2026/05/04 00:38:08.339, 3 MiB, 0 %, 4.90 W
2026/05/04 00:38:09.339, 3 MiB, 0 %, 4.98 W
2026/05/04 00:38:10.340, 3 MiB, 0 %, 5.09 W
2026/05/04 00:38:11.340, 3 MiB, 0 %, 5.17 W
2026/05/04 00:38:12.340, 3 MiB, 0 %, 5.10 W
2026/05/04 00:38:13.341, 3 MiB, 0 %, 5.19 W
2026/05/04 00:38:14.341, 3 MiB, 0 %, 5.36 W
2026/05/04 00:38:15.341, 3 MiB, 0 %, 5.53 W
2026/05/04 00:38:16.342, 3 MiB, 0 %, 5.60 W
2026/05/04 00:38:17.342, 3 MiB, 0 %, 5.48 W
2026/05/04 00:38:18.342, 3 MiB, 0 %, 5.57 W
2026/05/04 00:38:19.343, 3 MiB, 0 %, 5.39 W
2026/05/04 00:38:20.343, 3 MiB, 0 %, 4.99 W
2026/05/04 00:38:21.344, 3 MiB, 0 %, 4.89 W
2026/05/04 00:38:22.344, 3 MiB, 0 %, 5.05 W
2026/05/04 00:38:23.345, 3 MiB, 0 %, 5.07 W
2026/05/04 00:38:24.345, 3 MiB, 0 %, 4.99 W
2026/05/04 00:38:25.345, 3 MiB, 0 %, 5.20 W
2026/05/04 00:38:26.346, 3 MiB, 0 %, 5.55 W
2026/05/04 00:38:27.346, 3 MiB, 0 %, 5.54 W
2026/05/04 00:38:28.346, 3 MiB, 0 %, 5.27 W
2026/05/04 00:38:29.347, 3 MiB, 0 %, 5.14 W
2026/05/04 00:38:30.347, 3 MiB, 0 %, 5.14 W
2026/05/04 00:38:31.347, 3 MiB, 0 %, 5.20 W
2026/05/04 00:38:32.348, 3 MiB, 0 %, 5.02 W
2026/05/04 00:38:33.348, 3 MiB, 0 %, 4.77 W
2026/05/04 00:38:34.348, 3 MiB, 0 %, 4.82 W
2026/05/04 00:38:35.349, 3 MiB, 0 %, 4.95 W
2026/05/04 00:38:36.349, 3 MiB, 0 %, 5.20 W
2026/05/04 00:38:37.349, 3 MiB, 0 %, 5.20 W
2026/05/04 00:38:38.350, 3 MiB, 0 %, 5.00 W
2026/05/04 00:38:39.351, 3 MiB, 0 %, 5.12 W
2026/05/04 00:38:40.351, 3 MiB, 0 %, 5.17 W
2026/05/04 00:38:41.352, 3 MiB, 0 %, 4.90 W
2026/05/04 00:38:42.352, 3 MiB, 0 %, 4.81 W
2026/05/04 00:38:43.352, 3 MiB, 0 %, 4.83 W
2026/05/04 00:38:44.353, 3 MiB, 0 %, 4.69 W
2026/05/04 00:38:45.353, 3 MiB, 0 %, 4.65 W
2026/05/04 00:38:46.353, 3 MiB, 0 %, 4.57 W
2026/05/04 00:38:47.354, 3 MiB, 0 %, 4.58 W
2026/05/04 00:38:48.354, 3 MiB, 0 %, 4.65 W
2026/05/04 00:38:49.354, 3 MiB, 0 %, 4.61 W
2026/05/04 00:38:50.355, 3 MiB, 0 %, 4.80 W
2026/05/04 00:38:51.355, 3 MiB, 0 %, 5.05 W
2026/05/04 00:38:52.355, 3 MiB, 0 %, 5.06 W
2026/05/04 00:38:53.356, 3 MiB, 0 %, 5.09 W
2026/05/04 00:38:54.356, 3 MiB, 0 %, 5.12 W
2026/05/04 00:38:55.356, 3 MiB, 0 %, 5.04 W
2026/05/04 00:38:56.357, 3 MiB, 0 %, 4.89 W
2026/05/04 00:38:57.357, 3 MiB, 0 %, 4.88 W
2026/05/04 00:38:58.357, 3 MiB, 0 %, 5.03 W
2026/05/04 00:38:59.358, 6 MiB, 0 %, 4.86 W
2026/05/04 00:39:00.358, 16422 MiB, 83 %, 35.78 W
2026/05/04 00:39:01.358, 16422 MiB, 77 %, 66.68 W
2026/05/04 00:39:02.358, 18176 MiB, 53 %, 66.60 W
2026/05/04 00:39:03.358, 21884 MiB, 91 %, 120.22 W
2026/05/04 00:39:04.359, 21886 MiB, 93 %, 365.34 W
2026/05/04 00:39:05.379, 21886 MiB, 91 %, 354.95 W
2026/05/04 00:39:06.380, 21888 MiB, 94 %, 358.80 W
2026/05/04 00:39:07.391, 21888 MiB, 96 %, 358.59 W
2026/05/04 00:39:08.391, 21890 MiB, 94 %, 363.12 W
2026/05/04 00:39:09.392, 21890 MiB, 98 %, 367.17 W
2026/05/04 00:39:10.392, 21892 MiB, 91 %, 362.52 W
2026/05/04 00:39:11.392, 21892 MiB, 89 %, 352.15 W
2026/05/04 00:39:12.411, 21894 MiB, 94 %, 367.36 W
2026/05/04 00:39:13.411, 21894 MiB, 100 %, 354.33 W
2026/05/04 00:39:14.411, 21896 MiB, 97 %, 349.62 W
2026/05/04 00:39:15.412, 21896 MiB, 100 %, 365.93 W
2026/05/04 00:39:16.412, 21896 MiB, 92 %, 358.28 W
2026/05/04 00:39:17.413, 21898 MiB, 91 %, 364.17 W
2026/05/04 00:39:18.413, 21898 MiB, 90 %, 372.17 W
2026/05/04 00:39:19.414, 21900 MiB, 89 %, 372.04 W
2026/05/04 00:39:20.414, 21900 MiB, 100 %, 368.61 W
2026/05/04 00:39:21.414, 21900 MiB, 92 %, 366.39 W
2026/05/04 00:39:22.414, 21902 MiB, 86 %, 365.73 W
2026/05/04 00:39:23.415, 21902 MiB, 100 %, 370.00 W
2026/05/04 00:39:24.415, 21902 MiB, 78 %, 364.16 W
2026/05/04 00:39:25.415, 21904 MiB, 98 %, 372.19 W
2026/05/04 00:39:26.415, 21904 MiB, 79 %, 366.78 W
2026/05/04 00:39:27.416, 21906 MiB, 100 %, 352.99 W
2026/05/04 00:39:28.416, 21906 MiB, 80 %, 358.17 W
2026/05/04 00:39:29.416, 21906 MiB, 96 %, 372.86 W
2026/05/04 00:39:30.417, 21908 MiB, 98 %, 367.89 W
2026/05/04 00:39:31.417, 21908 MiB, 85 %, 373.66 W
2026/05/04 00:39:32.417, 21908 MiB, 100 %, 386.59 W
2026/05/04 00:39:33.417, 21910 MiB, 95 %, 369.50 W
2026/05/04 00:39:34.418, 21910 MiB, 86 %, 375.98 W
2026/05/04 00:39:35.418, 21910 MiB, 96 %, 382.43 W
2026/05/04 00:39:36.440, 21912 MiB, 100 %, 383.76 W
2026/05/04 00:39:37.440, 21912 MiB, 98 %, 370.90 W
2026/05/04 00:39:38.441, 21912 MiB, 100 %, 373.47 W
2026/05/04 00:39:39.441, 21912 MiB, 100 %, 386.97 W
2026/05/04 00:39:40.441, 21914 MiB, 100 %, 385.83 W
2026/05/04 00:39:41.447, 21914 MiB, 100 %, 370.00 W
2026/05/04 00:39:42.448, 21914 MiB, 100 %, 377.50 W
2026/05/04 00:39:43.448, 21916 MiB, 92 %, 369.59 W
2026/05/04 00:39:44.448, 21916 MiB, 100 %, 383.18 W
2026/05/04 00:39:45.449, 21916 MiB, 81 %, 379.66 W
2026/05/04 00:39:46.449, 21918 MiB, 100 %, 376.20 W
2026/05/04 00:39:47.449, 21918 MiB, 100 %, 372.74 W
2026/05/04 00:39:48.449, 21918 MiB, 81 %, 377.42 W
2026/05/04 00:39:49.450, 21918 MiB, 100 %, 372.79 W
2026/05/04 00:39:50.452, 21920 MiB, 100 %, 364.82 W
2026/05/04 00:39:51.452, 21920 MiB, 98 %, 379.38 W
2026/05/04 00:39:52.453, 21920 MiB, 100 %, 381.05 W
2026/05/04 00:39:53.468, 21920 MiB, 77 %, 368.81 W
2026/05/04 00:39:54.468, 21922 MiB, 82 %, 382.92 W
2026/05/04 00:39:55.470, 21922 MiB, 100 %, 375.84 W
2026/05/04 00:39:56.470, 21922 MiB, 82 %, 385.30 W
2026/05/04 00:39:57.471, 21922 MiB, 100 %, 380.96 W
2026/05/04 00:39:58.471, 21924 MiB, 100 %, 380.83 W
2026/05/04 00:39:59.480, 21924 MiB, 93 %, 373.26 W
2026/05/04 00:40:00.480, 21924 MiB, 100 %, 380.23 W
2026/05/04 00:40:01.480, 21924 MiB, 78 %, 374.23 W
2026/05/04 00:40:02.480, 21926 MiB, 100 %, 383.22 W
2026/05/04 00:40:03.482, 21926 MiB, 100 %, 379.42 W
2026/05/04 00:40:04.482, 21926 MiB, 100 %, 383.81 W
2026/05/04 00:40:05.482, 21926 MiB, 91 %, 377.10 W
2026/05/04 00:40:06.483, 21928 MiB, 100 %, 376.63 W
2026/05/04 00:40:07.484, 21928 MiB, 100 %, 378.88 W
2026/05/04 00:40:08.484, 21928 MiB, 80 %, 383.45 W
2026/05/04 00:40:09.485, 21928 MiB, 79 %, 385.51 W
2026/05/04 00:40:10.485, 21930 MiB, 100 %, 404.40 W
2026/05/04 00:40:11.507, 21930 MiB, 100 %, 385.34 W
2026/05/04 00:40:12.508, 21930 MiB, 77 %, 384.76 W
2026/05/04 00:40:13.508, 21930 MiB, 100 %, 404.90 W
2026/05/04 00:40:14.510, 21932 MiB, 100 %, 386.02 W
2026/05/04 00:40:15.510, 21932 MiB, 78 %, 379.67 W
2026/05/04 00:40:16.511, 21932 MiB, 100 %, 406.33 W
2026/05/04 00:40:17.511, 21932 MiB, 89 %, 378.31 W
2026/05/04 00:40:18.511, 21932 MiB, 76 %, 377.69 W
2026/05/04 00:40:19.511, 21934 MiB, 100 %, 379.51 W
2026/05/04 00:40:20.511, 21934 MiB, 73 %, 380.77 W
2026/05/04 00:40:21.512, 21934 MiB, 100 %, 402.55 W
2026/05/04 00:40:22.564, 21934 MiB, 84 %, 371.59 W
2026/05/04 00:40:23.564, 21936 MiB, 100 %, 388.39 W
2026/05/04 00:40:24.564, 21936 MiB, 100 %, 383.69 W
2026/05/04 00:40:25.565, 21936 MiB, 93 %, 399.32 W
2026/05/04 00:40:26.565, 21936 MiB, 100 %, 389.75 W
2026/05/04 00:40:27.565, 21936 MiB, 76 %, 380.32 W
2026/05/04 00:40:28.565, 21938 MiB, 100 %, 399.62 W
2026/05/04 00:40:29.565, 21938 MiB, 76 %, 378.96 W
2026/05/04 00:40:30.565, 21938 MiB, 92 %, 386.56 W
2026/05/04 00:40:31.565, 21938 MiB, 84 %, 390.76 W
2026/05/04 00:40:32.566, 21938 MiB, 100 %, 396.80 W
2026/05/04 00:40:33.566, 21940 MiB, 98 %, 375.56 W
2026/05/04 00:40:34.566, 21940 MiB, 100 %, 373.92 W
2026/05/04 00:40:35.566, 21940 MiB, 100 %, 402.49 W
2026/05/04 00:40:36.571, 21940 MiB, 100 %, 383.78 W
2026/05/04 00:40:37.571, 21942 MiB, 100 %, 404.69 W
2026/05/04 00:40:38.571, 21942 MiB, 80 %, 384.13 W
2026/05/04 00:40:39.571, 21942 MiB, 100 %, 406.59 W
2026/05/04 00:40:40.576, 21942 MiB, 75 %, 384.79 W
2026/05/04 00:40:41.576, 21942 MiB, 100 %, 408.35 W
2026/05/04 00:40:42.576, 21944 MiB, 73 %, 376.20 W
2026/05/04 00:40:43.576, 21944 MiB, 100 %, 400.22 W
2026/05/04 00:40:44.576, 21944 MiB, 100 %, 390.26 W
2026/05/04 00:40:45.576, 21944 MiB, 84 %, 382.56 W
2026/05/04 00:40:46.576, 21944 MiB, 100 %, 398.64 W
2026/05/04 00:40:47.577, 21946 MiB, 74 %, 383.54 W
2026/05/04 00:40:48.577, 21946 MiB, 100 %, 405.76 W
2026/05/04 00:40:49.577, 21946 MiB, 100 %, 402.93 W
2026/05/04 00:40:50.577, 21946 MiB, 68 %, 374.11 W
2026/05/04 00:40:51.578, 21946 MiB, 100 %, 401.55 W
2026/05/04 00:40:52.578, 21948 MiB, 100 %, 381.67 W
2026/05/04 00:40:53.578, 21948 MiB, 73 %, 372.55 W
2026/05/04 00:40:54.579, 21948 MiB, 100 %, 408.79 W
2026/05/04 00:40:55.579, 21948 MiB, 100 %, 377.39 W
2026/05/04 00:40:56.579, 21948 MiB, 74 %, 371.56 W
2026/05/04 00:40:57.580, 21948 MiB, 100 %, 408.21 W
2026/05/04 00:40:58.580, 21950 MiB, 98 %, 380.60 W
2026/05/04 00:40:59.582, 21950 MiB, 78 %, 373.23 W
2026/05/04 00:41:00.582, 21950 MiB, 100 %, 407.15 W
2026/05/04 00:41:01.583, 21950 MiB, 100 %, 386.33 W
2026/05/04 00:41:02.594, 21950 MiB, 71 %, 376.69 W
2026/05/04 00:41:03.594, 21950 MiB, 100 %, 402.88 W
2026/05/04 00:41:04.594, 21952 MiB, 100 %, 408.23 W
2026/05/04 00:41:05.606, 21952 MiB, 68 %, 364.54 W
2026/05/04 00:41:06.606, 21952 MiB, 100 %, 400.56 W
2026/05/04 00:41:07.607, 21952 MiB, 100 %, 391.11 W
2026/05/04 00:41:08.607, 21954 MiB, 100 %, 395.06 W
2026/05/04 00:41:09.607, 21954 MiB, 47 %, 375.54 W
2026/05/04 00:41:10.608, 21954 MiB, 100 %, 404.82 W
2026/05/04 00:41:11.608, 21954 MiB, 100 %, 408.96 W
2026/05/04 00:41:12.608, 21954 MiB, 100 %, 383.39 W
2026/05/04 00:41:13.609, 21954 MiB, 68 %, 365.95 W
2026/05/04 00:41:14.609, 21954 MiB, 100 %, 397.58 W
2026/05/04 00:41:15.609, 21956 MiB, 100 %, 406.88 W
2026/05/04 00:41:16.609, 21956 MiB, 100 %, 375.83 W
2026/05/04 00:41:17.636, 21956 MiB, 66 %, 370.89 W
2026/05/04 00:41:18.636, 21956 MiB, 100 %, 407.83 W
2026/05/04 00:41:19.637, 21956 MiB, 100 %, 405.91 W
2026/05/04 00:41:20.637, 21958 MiB, 67 %, 397.48 W
2026/05/04 00:41:21.637, 21958 MiB, 92 %, 375.43 W
2026/05/04 00:41:22.637, 21958 MiB, 100 %, 407.59 W
2026/05/04 00:41:23.638, 21958 MiB, 100 %, 403.63 W
2026/05/04 00:41:24.638, 21958 MiB, 100 %, 408.91 W
2026/05/04 00:41:25.638, 21958 MiB, 69 %, 371.88 W
2026/05/04 00:41:26.639, 21960 MiB, 69 %, 396.84 W
2026/05/04 00:41:27.641, 21960 MiB, 99 %, 404.90 W
2026/05/04 00:41:28.641, 21960 MiB, 100 %, 408.61 W
2026/05/04 00:41:29.641, 21960 MiB, 98 %, 401.21 W
2026/05/04 00:41:30.652, 21960 MiB, 68 %, 378.88 W
2026/05/04 00:41:31.653, 21960 MiB, 100 %, 406.78 W
2026/05/04 00:41:32.653, 21962 MiB, 100 %, 407.96 W
2026/05/04 00:41:33.654, 21962 MiB, 100 %, 407.73 W
2026/05/04 00:41:34.654, 21962 MiB, 100 %, 405.19 W
2026/05/04 00:41:35.654, 21962 MiB, 64 %, 376.52 W
2026/05/04 00:41:36.655, 21962 MiB, 93 %, 382.29 W
2026/05/04 00:41:37.655, 21962 MiB, 100 %, 395.73 W
2026/05/04 00:41:38.655, 21964 MiB, 100 %, 408.24 W
2026/05/04 00:41:39.656, 21964 MiB, 100 %, 408.56 W
2026/05/04 00:41:40.656, 21964 MiB, 100 %, 408.62 W
2026/05/04 00:41:41.656, 21964 MiB, 64 %, 400.91 W
2026/05/04 00:41:42.657, 21964 MiB, 80 %, 379.67 W
2026/05/04 00:41:43.657, 21964 MiB, 100 %, 405.48 W
2026/05/04 00:41:44.657, 21966 MiB, 100 %, 394.14 W
2026/05/04 00:41:45.658, 21966 MiB, 100 %, 404.91 W
2026/05/04 00:41:46.658, 21966 MiB, 100 %, 400.73 W
2026/05/04 00:41:47.658, 21966 MiB, 100 %, 407.76 W
2026/05/04 00:41:48.659, 21966 MiB, 100 %, 383.37 W
2026/05/04 00:41:49.659, 21966 MiB, 63 %, 377.69 W
2026/05/04 00:41:50.659, 21968 MiB, 100 %, 400.13 W
2026/05/04 00:41:51.660, 21968 MiB, 96 %, 402.92 W
2026/05/04 00:41:52.660, 21968 MiB, 100 %, 405.00 W
2026/05/04 00:41:53.660, 21968 MiB, 100 %, 406.29 W
2026/05/04 00:41:54.661, 21968 MiB, 100 %, 403.38 W
2026/05/04 00:41:55.661, 21968 MiB, 100 %, 407.75 W
2026/05/04 00:41:56.668, 21968 MiB, 98 %, 397.56 W
2026/05/04 00:41:57.669, 21970 MiB, 61 %, 372.96 W
2026/05/04 00:41:58.669, 21970 MiB, 64 %, 375.45 W
2026/05/04 00:41:59.669, 21970 MiB, 99 %, 403.87 W
2026/05/04 00:42:00.670, 21970 MiB, 100 %, 406.80 W
2026/05/04 00:42:01.670, 21970 MiB, 100 %, 407.47 W
2026/05/04 00:42:02.671, 21970 MiB, 100 %, 397.68 W
2026/05/04 00:42:03.683, 21972 MiB, 100 %, 406.84 W
2026/05/04 00:42:04.684, 21972 MiB, 100 %, 404.81 W
2026/05/04 00:42:05.684, 21972 MiB, 100 %, 395.45 W
2026/05/04 00:42:06.684, 21972 MiB, 100 %, 394.15 W
2026/05/04 00:42:07.685, 21972 MiB, 100 %, 405.36 W
2026/05/04 00:42:08.685, 21972 MiB, 98 %, 404.27 W
2026/05/04 00:42:09.686, 21972 MiB, 73 %, 382.27 W
2026/05/04 00:42:10.686, 21974 MiB, 60 %, 369.14 W
2026/05/04 00:42:11.686, 21974 MiB, 61 %, 379.61 W
2026/05/04 00:42:12.687, 21974 MiB, 80 %, 399.51 W
2026/05/04 00:42:13.687, 21974 MiB, 100 %, 404.19 W
2026/05/04 00:42:14.687, 21974 MiB, 95 %, 400.73 W
2026/05/04 00:42:15.688, 21974 MiB, 100 %, 403.92 W
2026/05/04 00:42:16.688, 21974 MiB, 100 %, 402.19 W
2026/05/04 00:42:17.689, 21976 MiB, 100 %, 405.37 W
2026/05/04 00:42:18.689, 21976 MiB, 100 %, 406.28 W
2026/05/04 00:42:19.690, 21976 MiB, 100 %, 403.87 W
2026/05/04 00:42:20.690, 21976 MiB, 100 %, 403.49 W
2026/05/04 00:42:21.690, 21976 MiB, 100 %, 403.51 W
2026/05/04 00:42:22.691, 21976 MiB, 100 %, 391.70 W
2026/05/04 00:42:23.691, 21976 MiB, 100 %, 403.92 W
2026/05/04 00:42:24.692, 21978 MiB, 100 %, 396.98 W
2026/05/04 00:42:25.692, 21978 MiB, 100 %, 403.35 W
2026/05/04 00:42:26.692, 21978 MiB, 100 %, 399.85 W
2026/05/04 00:42:27.693, 21978 MiB, 100 %, 405.16 W
2026/05/04 00:42:28.693, 21978 MiB, 100 %, 398.94 W
2026/05/04 00:42:29.694, 21978 MiB, 100 %, 405.15 W
2026/05/04 00:42:30.694, 21978 MiB, 100 %, 403.94 W
2026/05/04 00:42:31.694, 21980 MiB, 100 %, 404.22 W
2026/05/04 00:42:32.716, 21980 MiB, 100 %, 405.57 W
2026/05/04 00:42:33.716, 21980 MiB, 100 %, 406.16 W
2026/05/04 00:42:34.717, 21980 MiB, 100 %, 403.58 W
2026/05/04 00:42:35.717, 23104 MiB, 61 %, 259.71 W
2026/05/04 00:42:36.718, 3 MiB, 100 %, 101.97 W
2026/05/04 00:42:37.718, 3 MiB, 0 %, 85.01 W
2026/05/04 00:42:38.718, 3 MiB, 0 %, 74.50 W
2026/05/04 00:42:39.719, 3 MiB, 0 %, 55.61 W
2026/05/04 00:42:40.719, 3 MiB, 0 %, 33.96 W
2026/05/04 00:42:41.720, 3 MiB, 0 %, 28.95 W
2026/05/04 00:42:42.720, 3 MiB, 0 %, 23.03 W
2026/05/04 00:42:43.721, 3 MiB, 0 %, 18.58 W
2026/05/04 00:42:44.721, 3 MiB, 0 %, 18.41 W
2026/05/04 00:42:45.722, 3 MiB, 0 %, 18.10 W
2026/05/04 00:42:46.722, 3 MiB, 0 %, 17.89 W
2026/05/04 00:42:47.723, 3 MiB, 0 %, 17.52 W
2026/05/04 00:42:48.723, 3 MiB, 0 %, 16.76 W
2026/05/04 00:42:49.724, 3 MiB, 0 %, 16.13 W
2026/05/04 00:42:50.724, 3 MiB, 0 %, 15.89 W
2026/05/04 00:42:51.724, 16422 MiB, 82 %, 31.27 W
2026/05/04 00:42:52.725, 16422 MiB, 80 %, 74.09 W
2026/05/04 00:42:53.725, 16422 MiB, 79 %, 74.15 W
2026/05/04 00:42:54.726, 20394 MiB, 52 %, 74.00 W
2026/05/04 00:42:55.726, 20404 MiB, 98 %, 382.27 W
2026/05/04 00:42:56.726, 20410 MiB, 98 %, 409.06 W
2026/05/04 00:42:57.727, 20420 MiB, 98 %, 410.98 W
2026/05/04 00:42:58.727, 20430 MiB, 98 %, 411.65 W
2026/05/04 00:42:59.738, 20436 MiB, 100 %, 417.10 W
2026/05/04 00:43:00.739, 20444 MiB, 98 %, 408.09 W
2026/05/04 00:43:01.739, 20452 MiB, 92 %, 405.43 W
2026/05/04 00:43:02.740, 20458 MiB, 98 %, 409.15 W
2026/05/04 00:43:03.740, 19238 MiB, 98 %, 401.45 W
2026/05/04 00:43:04.742, 20474 MiB, 98 %, 413.16 W
2026/05/04 00:43:05.742, 20482 MiB, 98 %, 398.32 W
2026/05/04 00:43:06.742, 20490 MiB, 98 %, 401.85 W
2026/05/04 00:43:07.743, 20496 MiB, 98 %, 402.04 W
2026/05/04 00:43:08.743, 20504 MiB, 98 %, 408.29 W
2026/05/04 00:43:09.744, 20510 MiB, 98 %, 401.69 W
2026/05/04 00:43:10.744, 20516 MiB, 98 %, 402.80 W
2026/05/04 00:43:11.744, 19286 MiB, 98 %, 407.00 W
2026/05/04 00:43:12.746, 20530 MiB, 98 %, 394.65 W
2026/05/04 00:43:13.747, 20536 MiB, 100 %, 401.09 W
2026/05/04 00:43:14.747, 20544 MiB, 98 %, 396.98 W
2026/05/04 00:43:15.748, 21700 MiB, 57 %, 254.58 W
2026/05/04 00:43:16.748, 3 MiB, 4 %, 135.16 W
2026/05/04 00:43:17.749, 3 MiB, 0 %, 79.27 W
2026/05/04 00:43:18.749, 3 MiB, 0 %, 62.78 W
2026/05/04 00:43:19.750, 3 MiB, 0 %, 48.39 W
2026/05/04 00:43:20.750, 3 MiB, 0 %, 35.30 W
2026/05/04 00:43:21.750, 3 MiB, 0 %, 34.74 W
2026/05/04 00:43:22.751, 3 MiB, 0 %, 31.89 W
2026/05/04 00:43:23.751, 3 MiB, 0 %, 27.33 W
2026/05/04 00:43:24.751, 3 MiB, 0 %, 21.28 W
2026/05/04 00:43:25.753, 16422 MiB, 78 %, 40.56 W
2026/05/04 00:43:26.753, 16422 MiB, 77 %, 74.29 W
2026/05/04 00:43:27.753, 18176 MiB, 79 %, 73.64 W
2026/05/04 00:43:28.754, 394 MiB, 0 %, 73.59 W
2026/05/04 00:43:29.754, 3 MiB, 0 %, 75.80 W
2026/05/04 00:43:30.754, 3 MiB, 0 %, 70.81 W
2026/05/04 00:43:31.755, 3 MiB, 0 %, 60.26 W
2026/05/04 00:43:32.755, 3 MiB, 0 %, 43.40 W
2026/05/04 00:43:33.755, 16422 MiB, 0 %, 19.69 W
2026/05/04 00:43:34.756, 16422 MiB, 79 %, 69.43 W
2026/05/04 00:43:35.756, 16422 MiB, 76 %, 72.16 W
2026/05/04 00:43:36.756, 16996 MiB, 76 %, 71.72 W
2026/05/04 00:43:37.758, 3 MiB, 85 %, 75.68 W
2026/05/04 00:43:38.759, 3 MiB, 0 %, 69.87 W
2026/05/04 00:43:39.760, 3 MiB, 0 %, 64.88 W
2026/05/04 00:43:40.761, 3 MiB, 0 %, 44.81 W
2026/05/04 00:43:41.761, 3 MiB, 0 %, 24.16 W
2026/05/04 00:43:42.761, 16422 MiB, 39 %, 23.42 W
2026/05/04 00:43:43.761, 16422 MiB, 79 %, 68.35 W
2026/05/04 00:43:44.762, 16422 MiB, 75 %, 71.11 W
2026/05/04 00:43:45.762, 16996 MiB, 49 %, 70.97 W
2026/05/04 00:43:46.762, 394 MiB, 100 %, 74.47 W
2026/05/04 00:43:47.764, 3 MiB, 0 %, 70.35 W
2026/05/04 00:43:48.764, 3 MiB, 0 %, 69.58 W
2026/05/04 00:43:49.764, 16422 MiB, 54 %, 50.47 W
2026/05/04 00:43:50.765, 16422 MiB, 80 %, 70.42 W
2026/05/04 00:43:51.766, 16422 MiB, 77 %, 70.49 W
2026/05/04 00:43:52.767, 20318 MiB, 45 %, 69.65 W
